72401,USW00013740,VA,RICHMOND
72411,USW00013741,VA,ROANOKE
99KBLI,USW00024217,WA,BELLINGHAM
99KHQM,USW00094225,WA,HOQUIAM
72792,USW00024227,WA,OLYMPIA
72797,USW00094240,WA,QUILLAYUTE
72793,USW00024233,WA,SEATTLE TACOMA
72785,USW00024157,WA,SPOKANE
99KALW,USW00024160,WA,WALLA WALLA
99KEAT,USW00094239,WA,WENATCHEE
72781,USW00024243,WA,YAKIMA
72412,USW00003872,WV,BECKLEY
72414,USW00013866,WV,CHARLESTON
72417,USW00013729,WV,ELKINS
72425,USW00003860,WV,HUNTINGTON
99KMRB,USW00013734,WV,MARTINSBURG
99KMGW,USW00013736,WV,MORGANTOWN
72427,USW00053868,TN,PARKERSBURG
99KEAU,USW00014991,WI,EAU CLAIRE
72645,USW00014898,WI,GREEN BAY
72643,USW00014920,WI,LACROSSE
72641,USW00014837,WI,MADISON
72640,USW00014839,WI,MILWAUKEE
72646,USW00014897,IN,WAUSAU
72569,USW00024089,WY,CASPER
72564,USW00024018,WY,CHEYENNE
72670,US1WYPK0034,WY,CODY
72576,USW00024021,WY,LANDER
72574,USW00024027,VT,ROCK SPRINGS
72666,USW00024029,WY,SHERIDAN
99KWRL,USW00024062,WY,WORLAND
